City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
654,Lukow,PL,34.68,overcast clouds,51.929,22.3796,Hotel GROCHOWSKI
655,Vossevangen,NO,32.61,overcast clouds,60.623,6.4229,Fleischer's Hotel
656,Bonavista,CA,33.12,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
657,Singaraja,ID,77.97,light rain,-8.112,115.0882,Puri Bagus Lovina Resort
660,Marica,BR,76.95,moderate rain,-22.9194,-42.8186,Marica Hills
661,Sarkand,KZ,35.94,overcast clouds,45.41,79.9186,Гостиница Сарканд
662,Asyut,EG,53.78,overcast clouds,27.181,31.1837,Florence Hotel Assiut
663,El Sauzal,MX,58.42,clear sky,31.9,-116.6833,La Rosas Hotel & Spa
664,Christchurch,NZ,54.95,light rain,-43.5333,172.6333,The George
665,Olimpia,BR,80.82,overcast clouds,-20.7372,-48.9147,Hotel Savana
667,Guabito,PA,76.89,broken clouds,9.5,-82.6167,Cabinas Sanchez Salazar
668,Feira De Santana,BR,70.7,scattered clouds,-12.2667,-38.9667,Hotel Paraiso
669,Richards Bay,ZA,77.23,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
670,Veraval,IN,71.96,clear sky,20.9,70.3667,Lords Inn Somnath
671,Nauta,PE,72.88,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
672,Nisia Floresta,BR,82.78,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
673,Limbang,MY,78.91,light rain,4.75,115.0,Purnama Hotel
674,Goderich,CA,33.21,snow,43.7501,-81.7165,Harmony Inn
675,Puerto Baquerizo Moreno,EC,67.75,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
677,Soyo,AO,78.15,overcast clouds,-6.1349,12.3689,Hotel Mpampa
678,Union,US,46.99,overcast clouds,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
680,Arnedo,ES,41.59,overcast clouds,42.2167,-2.1,Hotel Virrey
681,Itanhandu,BR,64.11,few clouds,-22.2958,-44.9347,Hotel casarão
