City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Srandakan,ID,2021-11-28 22:06:54,-7.9386,110.2506,75.11,88,99,2.77
102,Ust-Kuyga,RU,2021-11-28 22:06:55,70.0167,135.6,-8.84,100,100,2.39
103,Arona,ES,2021-11-28 22:06:55,28.0996,-16.681,59.31,72,20,19.57
104,Kalabo,ZM,2021-11-28 22:06:56,-14.97,22.6814,73.24,66,84,4.7
105,Bambous Virieux,MU,2021-11-28 21:58:43,-20.3428,57.7575,73.65,83,20,3.44
106,Ewo,CG,2021-11-28 22:06:56,-0.8725,14.8206,75.11,84,90,3.53
107,Nambucca Heads,AU,2021-11-28 22:06:57,-30.65,153.0,68.0,75,79,4.25
108,Lavrentiya,RU,2021-11-28 22:06:57,65.5833,-171.0,-13.02,91,3,6.93
109,Ahipara,NZ,2021-11-28 22:04:06,-35.1667,173.1667,69.8,62,94,2.59
110,Padang,ID,2021-11-28 22:02:45,-0.9492,100.3543,75.7,88,96,2.46
111,Quatre Cocos,MU,2021-11-28 21:59:22,-20.2078,57.7625,73.51,70,4,4.92
112,Paamiut,GL,2021-11-28 22:06:58,61.994,-49.6678,38.08,91,100,24.47
113,Araouane,ML,2021-11-28 21:57:40,18.9048,-3.5265,71.91,24,5,11.5
114,Mandera,KE,2021-11-28 22:06:58,3.9366,41.867,81.12,64,61,5.97
115,Berlevag,NO,2021-11-28 22:04:07,70.8578,29.0864,10.35,79,36,29.93
116,Gornopravdinsk,RU,2021-11-28 22:06:59,60.05,69.9,22.89,82,100,9.24
117,Bulanash,RU,2021-11-28 22:06:59,57.2783,61.9965,27.64,58,93,9.66
118,Albany,US,2021-11-28 22:02:51,42.6001,-73.9662,30.85,92,86,1.83
119,Kayerkan,RU,2021-11-28 22:07:00,69.3497,87.7602,-14.33,100,86,3.65
120,Carnarvon,AU,2021-11-28 22:07:00,-24.8667,113.6333,75.27,64,0,12.66
121,Ilulissat,GL,2021-11-28 21:54:53,69.2167,-51.1,7.12,68,100,9.04
122,Hrubieszow,PL,2021-11-28 22:07:01,50.805,23.8925,41.63,94,100,6.91
123,Kungurtug,RU,2021-11-28 22:07:01,50.5994,97.5228,4.37,96,100,1.63
124,Okha,RU,2021-11-28 22:04:13,53.5739,142.9478,21.99,70,100,8.23
125,Nikolskoye,RU,2021-11-28 22:07:02,59.7035,30.7861,22.89,93,91,5.97
126,Kachug,RU,2021-11-28 22:07:02,53.9606,105.8817,8.76,95,100,3.49
127,Tuktoyaktuk,CA,2021-11-28 22:05:29,69.4541,-133.0374,-6.14,94,100,15.28
128,Thompson,CA,2021-11-28 22:00:33,55.7435,-97.8558,3.22,94,63,1.59
129,Bredasdorp,ZA,2021-11-28 22:03:59,-34.5322,20.0403,62.4,82,34,4.74
130,Karpathos,GR,2021-11-28 22:07:03,35.507,27.2132,69.76,78,95,13.8
131,Asau,RO,2021-11-28 21:57:34,46.4333,26.4,41.92,72,100,4.61
132,Nador,MA,2021-11-28 21:58:42,35.174,-2.9287,55.65,62,40,17.27
133,Wasilla,US,2021-11-28 22:07:04,61.5814,-149.4394,0.52,78,1,0.0
134,Georgetown,MY,2021-11-28 22:06:17,5.4112,100.3354,76.93,94,20,0.0
135,Bathsheba,BB,2021-11-28 22:01:31,13.2167,-59.5167,80.01,79,38,13.49
136,Doha,QA,2021-11-28 21:57:42,25.2867,51.5333,69.78,52,0,4.61
137,Southaven,US,2021-11-28 22:07:11,34.989,-90.0126,55.76,44,1,9.22
138,Haines Junction,CA,2021-11-28 22:07:12,60.7522,-137.5108,-2.6,98,99,1.41
139,Pisco,PE,2021-11-28 22:07:12,-13.7,-76.2167,68.05,77,0,21.85
140,Upernavik,GL,2021-11-28 22:01:46,72.7868,-56.1549,-9.2,78,10,9.82
141,Saint George,US,2021-11-28 22:05:07,37.1041,-113.5841,77.47,19,1,3.44
142,Kenai,US,2021-11-28 22:07:13,60.5544,-151.2583,6.89,85,90,8.05
143,Kletskaya,RU,2021-11-28 22:07:13,49.3145,43.0584,40.86,97,100,9.08
144,Lebu,CL,2021-11-28 21:57:42,-37.6167,-73.65,55.53,73,5,19.26
145,Yumen,CN,2021-11-28 22:07:14,40.2833,97.2,20.12,46,0,14.36
146,Sudogda,RU,2021-11-28 22:07:14,55.9539,40.8629,27.73,98,100,3.04
147,Plasnica,MK,2021-11-28 22:07:15,41.4672,21.1231,40.91,98,100,2.04
148,Nosivka,UA,2021-11-28 22:07:15,50.9315,31.5828,46.51,94,99,10.74
149,Arroyo,ES,2021-11-28 22:07:15,41.6096,-4.7969,41.04,93,90,17.27
150,Strezhevoy,RU,2021-11-28 22:07:16,60.7333,77.5889,19.38,96,100,6.87
151,Lorengau,PG,2021-11-28 22:07:16,-2.0226,147.2712,82.65,75,98,3.04
152,Beauchamps,FR,2021-11-28 22:07:17,50.012,1.5176,37.18,78,96,12.28
