City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Buala,SB,-8.145,159.5921,78.84,88,100,19.22,light rain
153,Mpanda,TZ,-6.3655,31.0409,66.0,92,100,0.54,overcast clouds
154,Skovorodino,RU,53.9833,123.9167,8.19,91,100,2.75,light snow
155,Clifton,US,40.8584,-74.1638,46.45,53,100,3.0,overcast clouds
156,Turbat,PK,26.0023,63.044,64.13,24,1,8.63,clear sky
157,Namibe,AO,-15.1961,12.1522,71.71,64,12,3.96,few clouds
158,Cabo San Lucas,MX,22.8909,-109.9124,78.51,63,99,5.48,overcast clouds
159,Rawson,AR,-43.3002,-65.1023,62.73,66,4,12.35,clear sky
160,Valparaiso,CL,-33.0393,-71.6273,59.92,95,90,3.44,mist
161,Langxiang,CN,46.95,128.8833,24.28,85,99,5.46,overcast clouds
162,Rocha,UY,-34.4833,-54.3333,59.77,97,29,3.27,scattered clouds
163,Deputatskiy,RU,69.3,139.9,-20.24,97,100,1.79,overcast clouds
164,Erenhot,CN,43.6475,111.9767,21.92,82,5,4.36,clear sky
165,Yenagoa,NG,4.9247,6.2642,77.47,91,100,3.53,overcast clouds
166,Atuona,PF,-9.8,-139.0333,78.84,74,8,18.32,clear sky
167,Athabasca,CA,54.7169,-113.2854,-4.18,68,0,7.49,clear sky
168,Saskylakh,RU,71.9167,114.0833,-34.22,99,92,4.76,overcast clouds
169,Provideniya,RU,64.3833,-173.3,28.51,86,90,8.95,snow
170,Yar-Sale,RU,66.8333,70.8333,-13.54,90,93,15.01,overcast clouds
171,Jalu,LY,29.0331,21.5482,55.4,63,2,6.96,clear sky
172,Grand-Santi,GF,4.25,-54.3833,73.17,99,100,2.37,overcast clouds
173,Burnie,AU,-41.0667,145.9167,59.52,81,98,13.53,overcast clouds
174,Ribeira Grande,PT,38.5167,-28.7,64.02,72,96,9.13,overcast clouds
175,Cam Ranh,VN,11.9214,109.1591,76.96,65,20,13.8,few clouds
176,Hailar,CN,49.2,119.7,11.97,88,6,13.04,clear sky
177,Hermanus,ZA,-34.4187,19.2345,60.91,94,100,9.35,light rain
178,Sao Filipe,CV,14.8961,-24.4956,75.29,74,14,10.56,few clouds
179,Fare,PF,-16.7,-151.0167,81.25,72,74,14.74,broken clouds
180,Ponta Do Sol,PT,32.6667,-17.1,65.03,66,6,9.53,clear sky
181,Severo-Yeniseyskiy,RU,60.3725,93.0408,8.96,96,100,2.64,light snow
182,Lompoc,US,34.6391,-120.4579,67.78,82,1,10.36,clear sky
183,Cape Town,ZA,-33.9258,18.4232,61.21,88,75,1.01,light intensity drizzle
184,New Norfolk,AU,-42.7826,147.0587,68.92,51,89,8.34,overcast clouds
185,Khandbari,NP,27.3747,87.2039,56.86,67,3,4.14,clear sky
186,Pevek,RU,69.7008,170.3133,-9.4,96,100,16.8,light snow
187,Hobart,AU,-42.8794,147.3294,69.26,58,40,5.01,scattered clouds
188,Tiksi,RU,71.6872,128.8694,-16.67,94,100,7.16,overcast clouds
189,Esperance,AU,-33.8667,121.9,67.84,67,98,12.91,overcast clouds
190,Freeport,US,40.6576,-73.5832,47.32,58,100,5.99,overcast clouds
191,Saldanha,ZA,-33.0117,17.9442,60.85,90,100,16.46,overcast clouds
192,Dubti,ET,11.7361,41.0853,71.44,63,0,7.92,clear sky
193,Port Hardy,CA,50.6996,-127.4199,37.4,86,90,5.75,overcast clouds
194,Ushuaia,AR,-54.8,-68.3,46.06,61,75,27.63,broken clouds
195,Butaritari,KI,3.0707,172.7902,80.98,81,94,12.75,moderate rain
196,Saint George,US,37.1041,-113.5841,61.27,31,1,1.01,clear sky
197,Nador,MA,35.174,-2.9287,59.25,63,40,18.41,scattered clouds
